submitted_on,water_point_name,latitude,longitude,photo_condition_water_point,operational_feel_of_pump,time_to_pump_20_litres,number_of_strokes_to_yield_water,sediment_presence,electrical_conductivity_magnitude,electrical_conductivity_units,arsenic_magnitude,arsenic_units,ammonia_mg_per_l,fluoride_ppm,nitrate_mg_per_l,total_dissolved_solids_ppt,free_chlorine_mg_per_l,ph,temperature_magnitude,temperature_units,turbidity_tube_magnitude,turbidity_tube_units,comments,type_of_sample,date_of_sample,ecoli_mpn_per_100ml,ecoli_upper_95ci_per_100ml,ecoli_health_risk_category,ecoli_image
28/06/2019,Kumwanje(ngakusa),-15.9716147,35.3299877,https://api.mwater.co/v3/images/bf3602670e704ab9928762689b2244ba,Normal/satisfactory,53.721,1,Absent,560,μS / cm,5,ppb,0.19,0.1,1.3,0.27,0,6.92,25.2,C,5,NTU,NA,Point of collection,6/28/2019,0,2.87,safe,https://api.mwater.co/v3/images/dd77da04329247ca92d17c2531d6e1e6
28/06/2019,Kumwanje borehole  03,-15.9583083,35.3269233,https://api.mwater.co/v3/images/a8bd4636361d4641bd65e3afb3e7cc9b; https://api.mwater.co/v3/images/c72daac29e074faf93696287d5a1c804,Normal/satisfactory,49.837,1,Absent,736,μS / cm,5,ppb,1.5,0.1,2.2,0.36,0,7.3,29.4,C,5,NTU,NA,Point of collection,6/28/2019,0,2.87,safe,https://api.mwater.co/v3/images/7fdbb60d0dea419dae39d0d6383c59e6
28/06/2019,Kumwanje borehole 04,-15.95839954,35.33050776,https://api.mwater.co/v3/images/d117ed7586be48b9b46e543d032f9301,Normal/satisfactory,52.691,1,Absent,866,μS / cm,5,ppb,0.2,0.2,1.4,0.42,0,7.12,24.1,C,5,NTU,NA,Point of collection,6/28/2019,0,2.87,safe,https://api.mwater.co/v3/images/da7bce1ef06141e2893ad923224f9256
27/06/2019,Kumwanje borehole 06,-15.9544383,35.3335267,https://api.mwater.co/v3/images/41479c3e9b6e480994e04896f2f76980; https://api.mwater.co/v3/images/feadb0a796bb432eadf5bf7b2bbc8c79,Normal/satisfactory,47.96,1,Absent,625,μS / cm,5,ppb,0.25,0.1,0.15,0.31,0,7.3,28.1,C,5,NTU,NA,Point of collection,6/27/2019,0,2.87,safe,https://api.mwater.co/v3/images/7e4e2890ad4a4f44b06a5e7c01fbce0d
08/07/2019,Nakoma borehole 02,-15.9386784,35.3397368,https://api.mwater.co/v3/images/fc7265c5f0964fd9a2ff9fb1ec538d17,Normal/satisfactory,51.458,1,Absent,567,μS / cm,5,ppb,0.64,0.3,0.9,0.26,0,7.22,22.6,C,5,NTU,NA,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/1d6a1749c2114eeebf53fae084c1e621
09/03/2020,Nakoma borehole 02,-15.9386784,35.3397368,https://api.mwater.co/v3/images/cd4ef0e15e1e4a5d8829f6716444bee3,Normal/satisfactory,45.558,2,Absent,505,μS / cm,0,ppb,0.5,0.34,0.73,0.25,0.95,7.1,31.2,C,5,NTU,NA,Point of collection,3/7/2020,0,2.87,safe,https://api.mwater.co/v3/images/c2e95412ca874c20b50b46bc863cf620
08/07/2019,Nakoma(mvuluse) borehole  04,-15.9313947,35.3288809,https://api.mwater.co/v3/images/7734cf83eac14137bba42642d5010a1f; https://api.mwater.co/v3/images/6a9e0e699a5c4d599fab56c23fc6361e,Normal/satisfactory,55.43,2,Absent,721,μS / cm,5,ppb,0.5,1.1,0.8,0.34,0.1,7.23,21.3,C,15,NTU,NA,Point of collection,6/22/2019,0,2.87,safe,https://api.mwater.co/v3/images/3389c44089f64e19bfa0798450b0b44b
05/07/2019,Nakoma(kazembe) borehole  03,-15.9358243,35.3347058,https://api.mwater.co/v3/images/cfb5be6c4cc64d35a4b5fc9fbca15f87; https://api.mwater.co/v3/images/6811aef44a4c4dbe8437d3182474c6ad,Normal/satisfactory,58.046,1,Absent,938,μS / cm,5,ppb,0.29,0.2,1,0.44,0,7.22,26.5,C,5,NTU,NA,Point of collection,6/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/9ff86fa056694f62b93e3ed26f5ae512
27/06/2019,Mwasa 01 borehole 02,-15.9326567,35.3407991,https://api.mwater.co/v3/images/4fe113ed79d14546aecf84c05035bd2f,Normal/satisfactory,56.436,2,Absent,1030,μS / cm,5,ppb,0.2,0.19,0.08,0.52,0,7.2,29,C,5,NTU,NA,Point of collection,6/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/1512033aa1ae489587c65590d9b13dd9
09/03/2020,Mwasa 01 borehole 02,-15.9326567,35.3407991,https://api.mwater.co/v3/images/1c9c0025e5a749ef8bc08d514b5c210f,Normal/satisfactory,41.042,2,Absent,281,μS / cm,0,ppb,0.6,0.24,0.9,0.2,0.9,7.2,32.1,C,5,NTU,NA,Point of collection,3/7/2020,0,2.87,safe,https://api.mwater.co/v3/images/bc8ac58642444f44a5af62a2aa0c3698
02/07/2019,Mtambo borehole 01,-15.9719698,35.3284381,https://api.mwater.co/v3/images/2afd7aad872c4f7bb76aea6864a9fb2c; https://api.mwater.co/v3/images/0a1bf83d27e74d2fab20d9af18d4395c; https://api.mwater.co/v3/images/c45906507cb24ae18f8e318776978c89,Normal/satisfactory,51.82,2,Absent,355,μS / cm,5,ppb,0.2,0.14,0.2,0.17,0,7.08,32,C,5,NTU,NA,Point of collection,7/2/2019,0,2.87,safe,https://api.mwater.co/v3/images/f663647d82d840f88ce9a81143cdeb88
04/07/2019,Phulanya borehole,-15.6425817,35.5202264,https://api.mwater.co/v3/images/051d35fe72cf4e98beadf1a6f8808bdc; https://api.mwater.co/v3/images/08ed142b36444ff7b5be53968e72aaf4,Normal/satisfactory,49.1,1,Absent,1071,μS / cm,5,ppb,3,1.5,0.4,0.51,0,7.5,25.8,C,5,NTU,NA,Point of collection,7/3/2019,0,2.87,safe,https://api.mwater.co/v3/images/473375a8f5954467a518d82214b2dbb9
08/07/2019,Chikuli   fp school,-15.9434498,35.4164293,https://api.mwater.co/v3/images/fd57ae84cf0f489a89460824979fbf82; https://api.mwater.co/v3/images/3eff359130694ec484c1b621a0f26b1e,Normal/satisfactory,48.56,1,Absent,137,μS / cm,5,ppb,0.15,0.2,0.5,0.06,0.1,6.81,24.2,C,5,NTU,The borehole is now functional after the rehabilitation and the community are very thankful and happy.,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/11a13e0382f548acace4ffac6e15d5f4
28/02/2020,Muhowa borehole 2,-15.9078302,35.442084,https://api.mwater.co/v3/images/c601f740940749d0b48c63baefafb067,Normal/satisfactory,39.618,2,Absent,395.2,μS / cm,0,ppb,0.64,0.52,0.73,0.23,0.95,6.72,31,C,15,NTU,NA,Point of collection,2/26/2020,0,2.87,safe,https://api.mwater.co/v3/images/eafbfb60fd1f44e3831882d9b9967c74
26/06/2019,Nogwe 2 village,-15.8357646,35.5123948,https://api.mwater.co/v3/images/9c5fa8227fbc47f6af53e4e141bb14a9,Normal/satisfactory,46.72,1,Absent,841,μS / cm,5,ppb,0.15,0.8,0.8,0.31,0,7.7,27.6,C,5,NTU,NA,Point of collection,6/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/d3fc31613bd947f789c218bd5c241084
17/06/2019,Chabwera water point 1,-15.839353,35.5410107,https://api.mwater.co/v3/images/c202855f6f724267bb18c6be1b6a202c; https://api.mwater.co/v3/images/d932e98bda8e4d5aa9bf33a87feb668a; https://api.mwater.co/v3/images/c88869e4c8c646d0b152a70dd03cf621,Normal/satisfactory,69.471,1,Absent,384,μS / cm,5,ppb,0.45,0.2,0.6,0.18,0.3,7.6,28.8,C,5,NTU,"The borehole has less mineral count. 
The performance is just satisfactory after founding in non functional state.
A day after the rehabilitation and CBM training, community has cleaned the surrounding and prepared a soak way pit.",Point of collection,6/16/2019,0,2.87,safe,https://api.mwater.co/v3/images/db015d47a88b4372ba62349a2ae487cb
22/06/2019,Kambenje Primary School borehole,-15.8535557,35.5602747,https://api.mwater.co/v3/images/4df82fa52dd345b0a31708473425aa7e,Normal/satisfactory,43.72,1,Absent,496,μS / cm,5,ppb,0.05,0.6,0.01,0.21,0,7,26.5,C,5,NTU,NA,Point of collection,6/22/2019,0,2.87,safe,https://api.mwater.co/v3/images/2bbdd2d2738d4db6b72e94f0e2345bf7
03/07/2019,Likuwa primary school borehole,-15.9292544,35.4431042,https://api.mwater.co/v3/images/4b3ab174b8734e299b4ed7aa60b3b517; https://api.mwater.co/v3/images/db486a5fd279442492553a0e9edd00a5; https://api.mwater.co/v3/images/f85f5933b2c14c1aa06cbe57012d7c0b,Normal/satisfactory,45.69,1,Absent,531,μS / cm,5,ppb,0.15,1.2,0.1,0.26,0,7.74,26.7,C,10,NTU,The borehole is now functioning after rehabilitation. The community are very happy.  As an action point the community members will clean the surrounding and dig a sock pit.,Point of collection,7/4/2019,0,2.87,safe,https://api.mwater.co/v3/images/1628712407204ede9255087b29b22735
08/07/2019,Nthiramanja(kapala),-15.96440299,35.33836126,https://api.mwater.co/v3/images/4e4d9c8185b447b58b134f3b0800bfa0,Normal/satisfactory,52.881,2,Absent,453,μS / cm,5,ppb,0.25,0.12,0.13,0.1,0,7.07,30.2,C,5,NTU,NA,Point of collection,7/3/2019,0,2.87,safe,https://api.mwater.co/v3/images/bde6e0579ce14d85b92590dd0c7dd14e
07/03/2020,Nthiramanja(kapala),-15.96440299,35.33836126,https://api.mwater.co/v3/images/9b2cbdb2fd5540f5b29f3a8ebd1d2571,Normal/satisfactory,47.242,1,Absent,263,μS / cm,0,ppb,0.45,0.11,0.08,0.24,0.61,7.2,32.2,C,5,NTU,NA,Point of collection,3/6/2020,0,2.87,safe,https://api.mwater.co/v3/images/5078f35a2c3849ddb51e724b14882b81
03/07/2019,Nthiramanja borehole  01,-15.9603408,35.3387998,https://api.mwater.co/v3/images/b6ca2fb2b0144bc69f3f9086473e82ab; https://api.mwater.co/v3/images/63112c9e152b4c13a20b46cfefe9c204,Normal/satisfactory,53.08,1,Absent,225,μS / cm,5,ppb,0.26,0.1,0.2,0.13,0,6.8,28.5,C,5,NTU,NA,Point of collection,7/3/2019,0,2.87,safe,https://api.mwater.co/v3/images/a41d20baf0f347e696fb6673c1324fe3
07/03/2020,Nthiramanja borehole  01,-15.9603408,35.3387998,https://api.mwater.co/v3/images/2d4cba709c5f4eb0a259b089737dd831,Normal/satisfactory,53.46,325,Absent,325,μS / cm,0,ppb,0.54,0.21,0.11,0.14,0.95,6.56,31.2,C,5,NTU,NA,Point of collection,3/6/2020,0,2.87,safe,https://api.mwater.co/v3/images/6a9ca2f928d447e88e560fd9c0977ccc
25/06/2019,Mkwera   village Borehole,-15.9157038,35.4608593,https://api.mwater.co/v3/images/b4e74055785549c898f53dc1fbcea234,Normal/satisfactory,48.57,1,Present,152.8,μS / cm,5,ppb,0.15,2,0.1,0.07,0,7.4,24.8,C,15,NTU,The community is happy for the rehabilitation of the borehole.,Point of collection,6/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/ef7918d2adb541549fd8ec042c761141
15/12/2019,Mkwera   village Borehole,-15.9157038,35.4608593,https://api.mwater.co/v3/images/8bf8a247e3f04bc8b1eacb4202ee45ac; https://api.mwater.co/v3/images/9abcca3bb14943c1894efc5847631493; https://api.mwater.co/v3/images/339da4e3cf4d4ac382ac77e89455e0e6,Normal/satisfactory,43.811,2,Absent,345,μS / cm,0,ppb,0.1,1.4,0.1,0.17,0.2,6.7,30,C,5,NTU,NA,Point of collection,12/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/8ca666b3cd4c43598478e721c11ee2b7
22/06/2019,Kunlola   borehole 1,-15.917365,35.4062191,https://api.mwater.co/v3/images/48e53dfa5a3e4ac5978cfee2ed463bb7; https://api.mwater.co/v3/images/ef22b043331d4ecbb2519f4f3ecab8bf,Normal/satisfactory,48.69,2,Absent,1808,μS / cm,5,ppb,1.8,0.2,0.1,0.91,0,7.03,26.2,C,5,NTU,NA,Point of collection,6/19/2019,0,2.87,safe,https://api.mwater.co/v3/images/a4efdc25865446238d4cfaa546203ea9
28/02/2020,Kunlola   borehole 1,-15.917365,35.4062191,https://api.mwater.co/v3/images/4cacb1e468e34a2381bd6732a820a92c; https://api.mwater.co/v3/images/f53c1b734ce74790a0f5ba6c6ce87770,Normal/satisfactory,62.135,2,Absent,528,μS / cm,0,ppb,0.3,0.14,0.11,0.21,0.25,7.2,28.3,C,5,NTU,NA,Point of collection,2/26/2020,0,2.87,safe,https://api.mwater.co/v3/images/a878ab8259c04dbc992f0476f1784d0c
21/06/2019,Makulo  primary school borehole,-15.9097417,35.4073733,https://api.mwater.co/v3/images/9955617a606944468124fffe9009f7f5,Normal/satisfactory,60.511,1,Absent,1450,μS / cm,5,ppb,0.15,1.6,0,0.71,0,7.17,25.4,C,5,NTU,NA,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/712ec6b3cb814c669234785f6b06f499
19/06/2019,Fundi  borehole 1,-15.9584665,35.4193718,https://api.mwater.co/v3/images/b0aaebcb11e24b589a8315c232a86a30; https://api.mwater.co/v3/images/c0d33b41886b438fbdc944f41ac37572,Normal/satisfactory,52.481,1,Absent,54.2,μS / cm,5,ppb,1,0.2,0.5,0.6,0,6.71,27.9,C,5,NTU,"The bolehole was functioning we did miner repairs
Note all committees were the same for the whole boreholes at fundi mosque",Point of collection,6/18/2019,0,2.87,safe,https://api.mwater.co/v3/images/927cd4b9722643a9a4bc226a21be8af3
06/12/2019,Fundi  borehole 1,-15.9584665,35.4193718,https://api.mwater.co/v3/images/6aea045fc1394685b5f32369d4370d25; https://api.mwater.co/v3/images/54b53e0387204eb9bef000ed8d0ac168,Normal/satisfactory,57.991,2,Present,78.7,μS / cm,0,ppb,0.06,0.2,0.7,0.04,0.1,7.6,27.2,C,25,NTU,NA,Point of collection,12/5/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/f74cfa5c60e04301b7384b2829fbfcc8
26/02/2020,Fundi  borehole 1,-15.9584665,35.4193718,https://api.mwater.co/v3/images/a97147a9bbf5405c91b81955af4c9de0,Normal/satisfactory,67.417,2,Absent,221,μS / cm,0,ppb,0.31,0.49,0.75,0.11,0.1,7.1,31.6,C,5,NTU,NA,Point of collection,2/24/2020,100,9435.1,unsafe,https://api.mwater.co/v3/images/6f785c2ed62b4a148e48cf59b1b5397d
08/07/2019,Salamu  borehole 3,-15.949285,35.4044217,https://api.mwater.co/v3/images/40cbf5fcc5a54db08896d04ecc972f4b; https://api.mwater.co/v3/images/f63c431cfc064103b71da6015eadb90d,Normal/satisfactory,41.541,1,Absent,780,μS / cm,5,ppb,15,0.4,1.6,0.62,0,7,24.8,C,5,NTU,The borehole is now functioning satisfactorily. The community has promised to mobilize the locals and resources to ensure the borehole is maintained timely whenever need arises.,Point of collection,6/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/d5c97a2690154199b9860b7ac91f2c89
06/12/2019,Salamu  borehole 3,-15.949285,35.4044217,https://api.mwater.co/v3/images/945f0803e8904cbd8794abb9d9026d03; https://api.mwater.co/v3/images/03a8d5455d0b4528b1e20fd00c3f7c9f,Normal/satisfactory,45.646,2,Absent,1232,μS / cm,0,ppb,0.2,0.62,0.14,0.62,2.7,7.2,29.1,C,5,NTU,NA,Point of collection,12/12/2019,0,2.87,safe,https://api.mwater.co/v3/images/5eda2386e5d2451e8a23c38c9d319852
22/06/2019,Salamu  borehole 2,-15.9456764,35.3981304,https://api.mwater.co/v3/images/cca1d74017914a02a3d6a9e19a2cc3cf; https://api.mwater.co/v3/images/b7949c1c38b44af4b37c4dae8762ec23,Normal/satisfactory,45.172,1,Absent,760,μS / cm,5,ppb,0.4,0.2,0.4,0.36,0,7,24.3,C,5,NTU,NA,Point of collection,6/19/2019,0,2.87,safe,https://api.mwater.co/v3/images/5af4da21bc874b12afabebee7189112a
16/12/2019,Salamu  borehole 2,-15.9456764,35.3981304,https://api.mwater.co/v3/images/95a458e393874f6f837d4c5bbd74d636; https://api.mwater.co/v3/images/8788ea3073a44129900dc0681e81f292,Very light,150.872,9,Absent,780,μS / cm,0,ppb,0.3,0.2,0.35,0.31,0.45,7.2,29.5,C,5,NTU,NA,Point of collection,12/15/2019,0,2.87,safe,https://api.mwater.co/v3/images/dc1f31b4596c43e08fd076e32375525f
09/03/2020,Salamu  borehole 2,-15.9456764,35.3981304,https://api.mwater.co/v3/images/5cd6a25432634c3da1de0bdb1eb79f65,Very light,99.881,9,Present,115,μS / cm,0,ppb,0.3,0.54,0.37,0.06,0.15,7.7,32.2,C,400,NTU,NA,Point of collection,3/8/2020,0,2.87,safe,https://api.mwater.co/v3/images/fd45323ea0cc4fe9bf36ef4db2d2f380
17/06/2019,Demula borehole 3,-15.965988,35.479673,https://api.mwater.co/v3/images/1828cd316a6142ba9c9b2a472c7d50a5; https://api.mwater.co/v3/images/13a20bfb39f24fce9a82e83ca4e33250,Normal/satisfactory,41.72,1,Absent,132.5,μS / cm,10,ppb,0.05,2.8,1.2,0.06,0,6.3,27.3,C,5,NTU,The community members were thankful for the work done. The water flow has significantly improved.,Point of collection,6/17/2019,0,2.87,safe,https://api.mwater.co/v3/images/ed188e3bd56649e78691022ea7177025
19/06/2019,Nkondezi   primary school borehole,-15.9224121,35.413199,https://api.mwater.co/v3/images/ec0b698bdd664fd695e3c4946e60f7ff,Normal/satisfactory,59.951,1,Present,3416,μS / cm,5,ppb,0.1,1,0.2,1.76,0,7.12,25.2,C,5,NTU,The community was so thankful for the rehabilitation of the borehole,Point of collection,6/18/2019,0,2.87,safe,https://api.mwater.co/v3/images/fa983b12b73e40ecb65a194f9e408c4a
05/07/2019,Chenkhuku borehole,-15.92091003,35.43798384,https://api.mwater.co/v3/images/9f2b9ed00d17420e80d299eeebb8ca4b; https://api.mwater.co/v3/images/89d0b45a289341538502484c5ffaf245,Normal/satisfactory,45.521,1,Present,2300,μS / cm,0,ppb,0.05,0.2,0,1.18,0,6.88,26.8,C,5,NTU,The community is happy for the rehab,Point of collection,7/4/2019,0,2.87,safe,https://api.mwater.co/v3/images/de4ccb08065c4217a0efaf942fa6432d
26/02/2020,Chenkhuku borehole,-15.92091003,35.43798384,https://api.mwater.co/v3/images/6f84de2466cd4b3f85c540c3b1f441d9,Normal/satisfactory,43.11,2,Absent,780,μS / cm,0,ppb,0.5,0.4,0.4,0.11,0.25,7.1,28,C,5,NTU,NA,Point of collection,2/24/2020,0,2.87,safe,https://api.mwater.co/v3/images/c8e6ae55be7d4754b49dbceaf6a0e8b7
15/12/2019,Khokholiwa borehole 4,-15.6864885,35.4820317,https://api.mwater.co/v3/images/0577694152d5438082f35610f9bf5e70; https://api.mwater.co/v3/images/3f3692b0011f41208366e3e0de988bb5,Normal/satisfactory,44.85,2,Absent,860,μS / cm,0,ppb,0.1,0.42,0.08,0.4,0.3,7.3,30,C,5,NTU,NA,Point of collection,12/14/2019,0,2.87,safe,https://api.mwater.co/v3/images/fd0cbda9f8364ba181f857c9a32875f8
04/07/2019,Munjale borehole,-15.6704407,35.4974788,https://api.mwater.co/v3/images/5e5b6bf61a6d46df89b140064ecbf5de,Normal/satisfactory,50.361,1,Absent,394,μS / cm,5,ppb,0,0.2,0.5,0.18,0,7.01,28.3,C,5,NTU,NA,Point of collection,7/2/2019,0,2.87,safe,https://api.mwater.co/v3/images/43c251049fbf4d2492aaf664e3313795
28/02/2020,Munjale borehole,-15.6704407,35.4974788,https://api.mwater.co/v3/images/04657c0b05db4763ad74fb3a1c56dd6b,Normal/satisfactory,52.648,2,Absent,480,μS / cm,0,ppb,0.4,0.4,0.2,0.22,0.21,7.1,31.7,C,5,NTU,NA,Point of collection,2/27/2020,0,2.87,safe,https://api.mwater.co/v3/images/a080a278119c4e99a61d9a5575867fa5
04/07/2019,Kuselema borehole 5,-15.6110224,35.528749,https://api.mwater.co/v3/images/8f3ea076903e4a3795a2e5948dad6740,"Normal/satisfactory , Significant friction (very stiff) on down stroke",53.181,1,Absent,1672,μS / cm,0,ppb,0.65,1.2,0,0.82,0,7.25,33.5,C,5,NTU,NA,Point of collection,7/4/2019,0,2.87,safe,https://api.mwater.co/v3/images/dd2920810ce34a9f8d851e2c40b83b65
22/06/2019,Mpoka borehole,-15.902672,35.4157284,https://api.mwater.co/v3/images/a28ff6951d7c40b5a3e7ec60a5469cb4,Normal/satisfactory,55.03,1,Present,1460,μS / cm,5,ppb,0.1,1.8,0.1,0.76,0.1,7.42,22.7,C,5,NTU,The community is so thankful for the rehabilitating and chlorinating but also the training which has been given to them saying it has opened their eyes on many issues,Point of collection,6/21/2019,0,2.87,safe,https://api.mwater.co/v3/images/152128985f5449158a6dc641f03cfc0e
04/07/2019,Nkhonya borehole 3,-15.9919083,35.4714733,https://api.mwater.co/v3/images/5949782f54c1462b86888fbedf85c5e4; https://api.mwater.co/v3/images/b101b193cef141ccbf471002d791518b; https://api.mwater.co/v3/images/55dce1e0ab464a79b18332f50219b20a,Normal/satisfactory,45.903,1,Absent,117.9,μS / cm,5,ppb,0.15,0.2,0.9,0.05,0,6.19,23.4,C,5,NTU,The borehole is now functioning satisfactorily.,Point of collection,7/4/2019,0,2.87,safe,https://api.mwater.co/v3/images/7427f37e58ae4aa0b6665bf8eaa7114a
25/06/2019,Namadidi primary school borehole,-15.874875,35.4565949,https://api.mwater.co/v3/images/b4612e01b431483abf297f43d898ba67,Normal/satisfactory,48.541,1,Present,332,μS / cm,5,ppb,0.7,1.6,1.4,0.16,0,6.95,29,C,5,NTU,The community is happy for what the organisation has done by doing maintanances on the borehole,Point of collection,6/24/2019,0,2.87,safe,https://api.mwater.co/v3/images/17e85a6d34284410be491a5bb85b8611
28/02/2020,Namadidi primary school borehole,-15.874875,35.4565949,https://api.mwater.co/v3/images/d549e4b26a6d490990bc62e8476f4346,Normal/satisfactory,46.571,1,Absent,208.9,μS / cm,0,ppb,0.64,0.22,0.73,0.21,0.3,6.2,29,C,25,NTU,NA,Point of collection,2/26/2020,0,2.87,safe,https://api.mwater.co/v3/images/e978c41c662f4ad2a6032f50b8b8e95f
